purchase_id,screening_id,item_id,item_quantity,item_unit_price
106e80a1-347f-4f53-9b90-2a50f50e0042,AttackOnTitan_FinalSeasonPart1_701,CONC004,2,14.35
090ddfb2-4004-456b-9d3d-ebea4251554f,JujutsuKaisen_Movie0_702,CONC011,1,11.28
419a8f2c-0db6-4b8e-b4f7-050192b6e4ed,SpyxFamily_CodeWhite_703,CONC019,3,9.97
3c9069c8-b8c6-434b-8685-ef24d8ee74b6,DemonSlayer_MugenTrain_704,CONC007,3,3.51
b62878a7-7c01-4532-95d4-151d5a82af07,MyDressUpDarling_Special_705,CONC008,3,12.58
5b10144a-5950-4c8f-8df8-26f005efc7da,ChainsawMan_RezeArc_706,CONC006,2,12.75
87bfc34d-0fae-49b0-9dc7-b449fdeb90fd,BocchitheRock_LiveConcert_707,CONC002,1,3.84
cd39ecef-b5d8-45a9-8612-8000a9355bc8,VinlandSaga_WarChronicles_708,CONC014,3,9.42
695bcc7d-5e95-4cf2-9877-3f5226528c30,OshinoKo_IdolRevelation_709,CONC007,3,11.58
08ec6f88-50c3-4230-b3d8-3fa8f137eefe,Frieren_JourneysEnd_710,CONC001,2,12.71
a1efa833-003a-4785-b383-9e2e6520dbb6,VinlandSaga_WarChronicles_708,CONC007,2,5.29
dc19c708-357f-4e39-b0db-c0696bd1f445,BocchitheRock_LiveConcert_707,CONC002,3,11.97
16aad928-d11b-4f78-8078-471f6e4d0be5,OnePiece_FilmRed_711,CONC003,3,3.49
01acab85-fc98-42ef-a860-ce56d40643ff,Naruto_TheLast_712,CONC003,1,8.98
2f6eb957-1402-4a32-8b7b-09f899ff34c4,DeathNote_Relight_713,CONC013,2,8.97
ce0445cd-0e1d-4c44-ae57-780719740154,VinlandSaga_WarChronicles_708,CONC004,1,7.13
753bfbc2-e0e8-4faf-a473-1e1f79c351ad,SpyxFamily_CodeWhite_703,CONC003,3,13.0
1026773f-efd6-4cc4-a2c6-79de49da6cb4,FullmetalAlchemist_SacredStar_714,CONC017,1,8.1
5fa19cde-2cca-4106-917a-9b5750558083,SteinsGate_LoadRegion_715,CONC008,1,12.83
906d5163-ebf9-4f3d-a920-c3fabff26ab0,YourLieinApril_Encore_716,CONC003,1,7.67
5a3d2871-8f9c-41ee-ba5e-556aeb6796ff,ReZero_MemorySnow_717,CONC005,2,9.76
82afc422-5103-46cd-91f2-f764b3f7d373,MyHeroAcademia_WorldHeroes_718,CONC007,1,11.42
c14ebad5-1a09-416c-aa95-a90c945cfbf5,ThePromisedNeverland_Shadow_719,CONC005,2,13.17
ac594f80-f026-4ab8-81ee-518a47de0784,DrStone_NewWorld_720,CONC012,2,4.61
32027ed9-5678-4105-a336-ca6f31d168fe,KimetsunoYaiba_ToSwordsmith_721,CONC013,2,3.99
fbb88197-99d1-4069-af79-c751890dd785,Naruto_TheLast_712,CONC003,1,4.39
cc9d01d5-bc1e-4a63-851e-cee99d8e95f0,TowerofGod_FloorTest_722,CONC015,1,13.33
44c577f9-c288-42b3-87bc-3902218275ed,TheGodofHighSchool_Tournament_723,CONC020,3,5.74
36d2b45c-38ff-40bb-89c5-e8cfcb908758,HunterxHunter_PhantomRouge_724,CONC018,2,2.74
4b3f8028-10e9-4a3a-942e-01bb63a2f0ba,NeonGenesisEvangelion_Thrice_725,CONC014,3,8.95
6c3765b1-9c02-4385-b652-e1c759429406,CowboyBebop_Knockin_726,CONC011,2,2.5
65c5bc18-4543-4b05-91eb-d7e5d23d737b,Trigun_Badlands_727,CONC008,1,6.96
84006380-e47f-453e-9b2f-d34c4d902763,KimetsunoYaiba_ToSwordsmith_721,CONC013,3,3.56
8cf7b760-01bb-4079-b631-1ad8e09ae325,SamuraiChamploo_Mugen_728,CONC019,3,2.96
897b927c-d697-4d5b-aa2c-28a0c5e65c64,CodeGeass_Koudou_729,CONC019,3,7.02
5cf43c28-55b5-4da8-9d8a-719dc9657f0b,GurrenLagann_ChildhoodsEnd_730,CONC015,3,5.09
bf5da814-ce93-4b23-b571-6a547e073d78,SwordArtOnline_Progressive_731,CONC012,3,7.91
0c35f149-36d3-477a-bf7d-75acedc8a041,NoGameNoLife_Zero_732,CONC015,3,13.43
cfabd311-2a95-40cf-8b5a-f26eca015817,TokyoGhoul_Pinto_733,CONC010,3,11.5
602cc695-d1e9-4fe1-9118-7fc1e9cb8296,Parasyte_Completion_734,CONC006,2,11.62
ec5c8000-0791-4fec-9796-08d63d5ecc44,OnePunchMan_RoadToHero_735,CONC005,1,7.98
8a592820-05b2-4145-bb26-9de0ca44e5fa,MobPsycho100_FirstSpirits_736,CONC013,1,12.92
aa5f45ae-3745-47c2-a98e-bc856b83a366,MadeinAbyss_DawnOfDeep_737,CONC013,2,13.49
f30decfb-dfef-49c4-a361-6b6ea8d791a9,TheAncientMagusBride_Home_738,CONC015,2,8.03
052dd0ea-edaa-4849-a316-bb7e0c2644a5,VioletEvergarden_Eternity_739,CONC013,1,11.4
3f1e5980-a36e-4e42-b228-3e3cfd5f1429,ZombieLandSaga_Revenge_740,CONC007,3,4.48
8fbc1563-0944-417a-a30e-f8359e4dc629,KaguyaSama_LoveIsUltimate_741,CONC015,3,13.21
c91936ff-55e6-4a32-ab85-2037d3f26fff,Beastars_NewMoon_742,CONC012,3,5.99
