transaction_id,customer_id,product_id,quantity_purchased,unit_price_at_sale
1001,501,AttackOnTitan_manga_001,2,14.99
1002,501,AttackOnTitan_cup_002,1,12.99
1003,502,JujutsuKaisen_hoodie_003,1,34.99
1004,502,JujutsuKaisen_figure_004,2,49.99
1005,503,SpyxFamily_manga_005,3,9.99
1006,503,SpyxFamily_poster_006,1,8.99
1007,504,DemonSlayer_keychain_007,5,6.99
1008,504,DemonSlayer_tshirt_008,2,24.99
1009,505,MyDressUpDarling_figure_009,1,39.99
1010,505,MyDressUpDarling_poster_010,1,7.99
1011,506,ChainsawMan_manga_011,2,12.99
1012,506,ChainsawMan_hoodie_012,1,44.99
1013,507,BocchitheRock_cd_013,1,19.99
1014,507,BocchitheRock_poster_014,2,9.99
1015,508,VinlandSaga_artbook_015,1,29.99
1016,508,VinlandSaga_manga_016,3,10.99
1017,509,OshinoKo_keychain_017,5,5.99
1018,509,OshinoKo_manga_018,2,11.99
1019,510,Frieren_lightnovel_019,1,13.99
1020,510,Frieren_poster_020,1,8.99
1021,511,OnePiece_tshirt_021,1,19.99
1022,511,OnePiece_mug_022,2,14.99
1023,512,Naruto_headband_023,3,12.99
1024,512,Naruto_manga_024,1,9.99
1025,513,DeathNote_notebook_025,1,14.99
1026,513,DeathNote_manga_026,2,10.99
1027,514,FullmetalAlchemist_figure_027,1,54.99
1028,514,FullmetalAlchemist_poster_028,1,8.99
1029,515,SteinsGate_manga_029,2,11.99
1030,515,SteinsGate_tshirt_030,1,22.99
1031,516,YourLieinApril_sheetmusic_031,1,15.99
1032,516,YourLieinApril_poster_032,2,7.99
1033,517,ReZero_figure_033,1,45.99
1034,517,ReZero_lightnovel_034,1,12.99
1035,518,MyHeroAcademia_hoodie_035,1,39.99
1036,518,MyHeroAcademia_manga_036,3,9.99
1037,519,ThePromisedNeverland_poster_037,1,8.99
1038,519,ThePromisedNeverland_manga_038,2,10.99
1039,520,DrStone_sciencekit_039,1,29.99
1040,520,DrStone_manga_040,2,9.99
1041,521,KimetsunoYaiba_sword_041,1,59.99
1042,521,KimetsunoYaiba_tshirt_042,2,19.99
1043,522,TowerofGod_manga_043,1,10.99
1044,522,TowerofGod_poster_044,1,7.99
1045,523,TheGodofHighSchool_hoodie_045,1,34.99
1046,523,TheGodofHighSchool_manga_046,1,11.99
1047,524,HunterxHunter_manga_047,4,9.99
1048,524,HunterxHunter_poster_048,1,8.99
1049,525,NeonGenesisEvangelion_figure_049,1,64.99
1050,525,NeonGenesisEvangelion_tshirt_050,2,24.99
