delivery_id,supplier_id,product_id,quantity_delivered,unit_cost
2001,901,AttackOnTitan_manga_001,50,7.50
2002,902,AttackOnTitan_cup_002,30,5.25
2003,903,JujutsuKaisen_hoodie_003,25,15.75
2004,904,JujutsuKaisen_figure_004,40,22.50
2005,905,SpyxFamily_manga_005,100,4.25
2006,906,SpyxFamily_poster_006,80,3.50
2007,907,DemonSlayer_keychain_007,200,2.25
2008,908,DemonSlayer_tshirt_008,60,10.75
2009,909,MyDressUpDarling_figure_009,35,18.50
2010,910,MyDressUpDarling_poster_010,75,3.25
2011,911,ChainsawMan_manga_011,80,5.50
2012,912,ChainsawMan_hoodie_012,45,19.99
2013,913,BocchitheRock_cd_013,60,8.25
2014,914,BocchitheRock_poster_014,90,3.75
2015,915,VinlandSaga_artbook_015,40,12.50
2016,916,VinlandSaga_manga_016,120,4.50
2017,917,OshinoKo_keychain_017,300,1.99
2018,918,OshinoKo_manga_018,100,4.75
2019,919,Frieren_lightnovel_019,70,5.75
2020,920,Frieren_poster_020,85,3.25
2021,921,OnePiece_tshirt_021,55,8.50
2022,922,OnePiece_mug_022,90,5.75
2023,923,Naruto_headband_023,150,4.75
2024,924,Naruto_manga_024,110,3.75
2025,925,DeathNote_notebook_025,65,5.99
2026,926,DeathNote_manga_026,95,4.25
2027,927,FullmetalAlchemist_figure_027,30,25.50
2028,928,FullmetalAlchemist_poster_028,70,3.50
2029,929,SteinsGate_manga_029,90,4.75
2030,930,SteinsGate_tshirt_030,50,9.50
2031,931,YourLieinApril_sheetmusic_031,40,6.25
2032,932,YourLieinApril_poster_032,95,2.99
2033,933,ReZero_figure_033,25,20.75
2034,934,ReZero_lightnovel_034,65,5.25
2035,935,MyHeroAcademia_hoodie_035,40,16.50
2036,936,MyHeroAcademia_manga_036,150,3.75
2037,937,ThePromisedNeverland_poster_037,85,3.25
2038,938,ThePromisedNeverland_manga_038,100,4.50
2039,939,DrStone_sciencekit_039,35,12.75
2040,940,DrStone_manga_040,110,3.75
2041,941,KimetsunoYaiba_sword_041,20,25.99
2042,942,KimetsunoYaiba_tshirt_042,75,7.50
2043,943,TowerofGod_manga_043,90,4.25
2044,944,TowerofGod_poster_044,80,2.99
2045,945,TheGodofHighSchool_hoodie_045,45,14.50
2046,946,TheGodofHighSchool_manga_046,95,4.75
2047,947,HunterxHunter_manga_047,200,3.75
2048,948,HunterxHunter_poster_048,85,3.25
2049,949,NeonGenesisEvangelion_figure_049,25,28.50
2050,950,NeonGenesisEvangelion_tshirt_050,70,9.75
